"REF_DATE","GEO","DGUID","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29848.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30157.4","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29659.5","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","28952.6","","","","1"
"2024","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29645.2","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6366.4","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6873.7","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","7189.9","","","","1"
"2023","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","7338.6","","","","1"
"2024","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","7604.7","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","39525.3","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","42101.0","","","","1"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","43555.4","","","","1"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","44453.4","","","","1"
"2024","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","45644.6","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","32134.5","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","33903.0","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","34605.9","","","","1"
"2023","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","35207.2","","","","1"
"2024","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","35836.7","","","","1"
"2020","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","391038.5","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","419899.5","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","434498.2","","","","1"
"2023","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","437230.9","","","","1"
"2024","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","442865.8","","","","1"
"2020","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","769942.0","","","","1"
"2021","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","817265.5","","","","1"
"2022","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","850461.9","","","","1"
"2023","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","865859.6","","","","1"
"2024","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","876619.7","","","","1"
"2020","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","65309.9","","","","1"
"2021","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","66336.7","","","","1"
"2022","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","69231.9","","","","1"
"2023","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","70527.8","","","","1"
"2024","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","71271.8","","","","1"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","72791.3","","","","1"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","71076.8","","","","1"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","76120.6","","","","1"
"2023","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","77895.7","","","","1"
"2024","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","80518.8","","","","1"
"2020","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","300801.4","","","","1"
"2021","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","316815.7","","","","1"
"2022","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","336275.0","","","","1"
"2023","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","344149.0","","","","1"
"2024","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","353296.8","","","","1"
"2020","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","269189.9","","","","1"
"2021","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","290177.5","","","","1"
"2022","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","302118.6","","","","1"
"2023","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","309420.4","","","","1"
"2024","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","313136.8","","","","1"
"2020","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2875.0","","","","1"
"2021","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3143.9","","","","1"
"2022","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3378.8","","","","1"
"2023","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3438.7","","","","1"
"2024","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3326.1","","","","1"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","3968.3","","","","1"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4105.4","","","","1"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4214.3","","","","1"
"2023","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4199.5","","","","1"
"2024","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4152.5","","","","1"
"2020","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3417.9","","","","1"
"2021","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3648.0","","","","1"
"2022","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3691.1","","","","1"
"2023","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3831.5","","","","1"
"2024","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","4117.3","","","","1"


